Model,Predictor,SampleSize,OR,SE,Lower90CI,Upper90CI,Lower95CI,Upper95CI,PValue,AUC,BrierScore
Model 1: Demographics,Intercept,46162,0.11393868556284899,0.0483837202930133,0.10522241205426083,0.12337698608444021,0.10363033631669183,0.12527243015131226,0.0,0.7453764205613473,0.0996542553984977
Model 1: Demographics,agea,46162,1.0013105171895014,0.0001213909128361731,1.0011106051938121,1.0015104691056609,1.001072311909901,1.0015487791500772,3.889403868107926e-27,0.7453764205613473,0.0996542553984977
Model 1: Demographics,gndr,46162,1.0145295258553306,0.029604347856614924,0.9663107247730642,1.0651544399178265,0.9573382785539768,1.0751373698197002,0.6260748281912678,0.7453764205613473,0.0996542553984977
Model 2: + Socioeconomic,Intercept,46162,0.15278721682891303,0.05381737748715314,0.13984357900953467,0.16692889149192666,0.137492049294066,0.16978388020384813,5.435059674766044e-267,0.6560413185664353,0.09877144812017623
Model 2: + Socioeconomic,agea,46162,1.0015452069074802,0.00012665033711426076,1.0013365854725584,1.0017538718072103,1.0012966240953867,1.001793851432969,3.464617331656372e-34,0.6560413185664353,0.09877144812017623
Model 2: + Socioeconomic,gndr,46162,1.0186002388351372,0.02970957987272135,0.970020047408738,1.069613405750373,0.9609812927869374,1.0796739274143565,0.5350488282177809,0.6560413185664353,0.09877144812017623
Model 2: + Socioeconomic,edulvlb,46162,0.9996413937433632,5.4540244653176125e-05,0.999551719217399,0.9997310763144545,0.9995345408732604,0.9997482580363187,4.8244402168012617e-11,0.6560413185664353,0.09877144812017623
Model 2: + Socioeconomic,hinctnta,46162,0.9911736998938833,0.0005706014511776979,0.9902438644226389,0.9921044084773322,0.9900658321779704,0.9922828072959221,1.9464077249939635e-54,0.6560413185664353,0.09877144812017623
Model 3: + Lifestyle,Intercept,46162,0.14291584594082576,0.06371407475517764,0.12869633539129038,0.15870645390858673,0.1261382686197302,0.1619249990068996,8.987869104174769e-205,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,agea,46162,1.0015596376635847,0.00012857575685201096,1.0013478419154211,1.0017714782088076,1.0013072725759924,1.0018120663561652,8.209800196277976e-34,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,gndr,46162,0.9871534742482073,0.030326127681628238,0.9391202022476833,1.0376435086669544,0.9301886406538683,1.047606839227051,0.6698477503403322,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,edulvlb,46162,0.9996606917740457,5.287949056710506e-05,0.9995737460461747,0.9997476450646999,0.9995570904123751,0.9997643038737143,1.383296909305072e-10,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,hinctnta,46162,0.9910429355245303,0.0005738422777006824,0.9901079447574804,0.991978809233424,0.9899289260155419,0.9921581986762331,2.096950760295627e-55,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,cgtsmok,46162,1.0310264387044976,0.008377267189547472,1.0169169684590607,1.0453316743435521,1.0142360880029548,1.0480947482363514,0.00026495607002327125,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,BMI,46162,1.000803159930717,0.00029220211163477904,1.000322259781778,1.0012842912701059,1.000230158437752,1.0013764896788422,0.0060043820474640535,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,alcfreq,46162,1.0043602730668488,0.002318049292207547,1.0005380875501215,1.0081970598289522,0.9998075200182006,1.0089337576662276,0.06052896813878949,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,etfruit,46162,0.9978361769869756,0.0034664512669315343,0.9921628990767812,1.0035418952174806,0.9910797366438466,1.0046386776867262,0.5320400884937014,0.6446495928084783,0.09837893234282462
Model 3: + Lifestyle,eatveg,46162,1.007626790269802,0.003134885889284033,1.0024444076219454,1.0128359645179752,1.001454646877582,1.0138369736812807,0.015365579561107706,0.6446495928084783,0.09837893234282462
